ind;site;date;phase;stipe_length;stipe_circ;primary_length;primary_width;holdfast;cluster;
79;Oilifantsbos;09/09/2017;After;400;32;21;13;N;N;
80;Oilifantsbos;09/09/2017;After;183;8;16;3;N;N;
81;Oilifantsbos;09/09/2017;After;390;27;24;12;N;N;
82;Oilifantsbos;09/09/2017;After;650;44;36;28;N;N;
83;Oilifantsbos;09/09/2017;After;790;23;22;14;Y;N;
84;Oilifantsbos;09/09/2017;After;455;35;35;21;N;N;
85;Oilifantsbos;09/09/2017;After;132;6;28;3;Y;N;
86;Oilifantsbos;09/09/2017;After;600;37;26;17;Y;Y;
87;Oilifantsbos;09/09/2017;After;625;31;16;15;Y;Y;
88;Oilifantsbos;09/09/2017;After;375;29;22;22;N;N;
89;Oilifantsbos;09/09/2017;After;750;39;21;19;N;N;
90;Oilifantsbos;09/09/2017;After;860;36;22;19;Y;N;
91;Oilifantsbos;09/09/2017;After;640;31;24;37;Y;N;
92;Oilifantsbos;09/09/2017;After;875;15;19;19;Y;Y;
93;Oilifantsbos;09/09/2017;After;870;13;17;7;Y;Y;
94;Oilifantsbos;09/09/2017;After;872;13;16;7;Y;Y;
95;Oilifantsbos;09/09/2017;After;375;24;18;15;N;N;
96;Oilifantsbos;09/09/2017;After;250;34;34;24;N;N;
97;Oilifantsbos;09/09/2017;After;300;8;13;3;N;N;
98;Oilifantsbos;09/09/2017;After;146;7;51;2;N;N;
99;Oilifantsbos;09/09/2017;After;610;11;21;7;Y;N;
100;Oilifantsbos;09/09/2017;After;292;35;26;29;N;N;
101;Platboom;06/06/2017;Before;42;7;22;17;Y;N;
102;Platboom;06/06/2017;Before;553;13;15;8;N;N;
103;Platboom;06/06/2017;Before;160;16;14;8;Y;Y;
104;Platboom;06/06/2017;Before;214;15;15;7;Y;Y;
105;Platboom;06/06/2017;Before;160;20;15;12;Y;Y;
106;Platboom;06/06/2017;Before;110;17;11;7,5;Y;Y;
107;Platboom;06/06/2017;Before;88;19;84;18;Y;Y;
108;Platboom;06/06/2017;Before;620;29;20;18;N;N;
109;Platboom;06/06/2017;Before;230;17;13;6;Y;N;
110;Platboom;06/06/2017;Before;210;13;10;4,5;Y;Y;
111;Platboom;06/06/2017;Before;71;6;11;4;Y;Y;
112;Platboom;06/06/2017;Before;204;27;12;14,5;N;N;
113;Platboom;06/06/2017;Before;712;29;24;20;N;N;
114;Platboom;06/06/2017;Before;428;34;16;10;N;N;
115;Platboom;06/06/2017;Before;230;25;15;12;Y;Y;
116;Platboom;06/06/2017;Before;66;6;9;3;Y;Y;
117;Platboom;06/06/2017;Before;65;19;10;5;Y;Y;
118;Platboom;06/06/2017;Before;190;18;15;8;Y;Y;
119;Platboom;06/06/2017;Before;200;18;19;12;N;N;
120;Platboom;06/06/2017;Before;186;22;20;23;Y;Y;
121;Platboom;06/06/2017;Before;194;24;18;13,5;Y;Y;
122;Platboom;06/06/2017;Before;176;17;12;7;N;N;
123;Platboom;06/06/2017;Before;173;33;12;16;N;N;
124;Platboom;06/06/2017;Before;350;40;36;18;N;N;
125;Platboom;06/06/2017;Before;710;32;23;17;Y;N;
126;Platboom;06/06/2017;Before;165;22;12;16;N;N;
127;Platboom;06/06/2017;Before;241;11;8;5;N;N;
128;Platboom;06/06/2017;Before;165;15;13;4;N;N;
129;Platboom;06/06/2017;Before;245;20;19;10;N;N;
130;Platboom;06/06/2017;Before;310;22;13;8;Y;Y;
131;Platboom;06/06/2017;Before;246;22;14;7;Y;Y;
132;Platboom;06/06/2017;Before;393;20;12;18;N;N;
133;Platboom;06/06/2017;Before;87;11;13;3;Y;N;
134;Platboom;06/06/2017;Before;250;23;19;16;N;N;
135;Platboom;06/06/2017;Before;143;52;12;10;Y;Y;
136;Platboom;06/06/2017;Before;129;23;14;13;Y;Y;
137;Platboom;06/06/2017;Before;750;21;12;7;Y;Y;
138;Platboom;06/06/2017;Before;260;29;18;15;N;N;
139;Platboom;06/06/2017;Before;185;7;10;4;N;N;
140;Platboom;09/09/2017;After;570;21;14;7;N;N;
141;Platboom;09/09/2017;After;620;15;17;6;Y;N;
142;Platboom;09/09/2017;After;160;32;16;20;N;N;
143;Platboom;09/09/2017;After;625;21;14;4;Y;Y;
144;Platboom;09/09/2017;After;54;6;28;3;Y;Y;
145;Platboom;09/09/2017;After;550;20;18;7;Y;Y;
146;Platboom;09/09/2017;After;555;7;17;3;Y;N;
147;Platboom;09/09/2017;After;888;13;14;6;N;N;
148;Platboom;09/09/2017;After;240;9;15;14;Y;N;
149;Platboom;09/09/2017;After;375;9;16;4;Y;N;
150;Platboom;09/09/2017;After;93;9;28;7;Y;N;
151;Platboom;09/09/2017;After;160;29;16;13;N;N;
152;Platboom;09/09/2017;After;1125;11;15;5;N;N;
153;Platboom;09/09/2017;After;300;28;28;25;N;N;
154;Platboom;09/09/2017;After;250;26;26;24;N;N;
155;Platboom;09/09/2017;After;500;11;17;4;N;N;
156;Platboom;09/09/2017;After;380;27;19;10;N;N;
157;Platboom;09/09/2017;After;505;28;16;9;N;N;
158;Platboom;09/09/2017;After;136;19;13;8;Y;Y;
159;Platboom;09/09/2017;After;130;18;13;7;Y;Y;
160;Platboom;09/09/2017;After;142;17;14;6;Y;Y;
161;Platboom;09/09/2017;After;135;18;14;8;Y;Y;
162;Platboom;09/09/2017;After;94;7;61;6;Y;N;
163;Platboom;09/09/2017;After;770;20;15;11;Y;N;
164;Platboom;09/09/2017;After;280;22;17;7;Y;N;
165;Platboom;09/09/2017;After;725;18;19;12;Y;N;
166;Platboom;09/09/2017;After;350;25;16;16;Y;N;
167;Platboom;09/09/2017;After;120;10;29;5;Y;N;
168;Platboom;09/09/2017;After;250;6;23;3;Y;N;
169;Platboom;09/09/2017;After;71;27;13;10;N;N;
170;Platboom;09/09/2017;After;410;39;30;29;N;N;
171;Platboom;09/09/2017;After;340;9;10;3;N;N;
172;Platboom;09/09/2017;After;750;35;34;24;N;N;
173;Platboom;09/09/2017;After;400;17;15;12;N;N;
174;Platboom;09/09/2017;After;875;44;26;21;N;N;
175;Platboom;09/09/2017;After;360;12;11;5;N;N;
176;Platboom;09/09/2017;After;850;33;19;16;Y;Y;
177;Platboom;09/09/2017;After;110;9;16;3;Y;Y;
178;Platboom;09/09/2017;After;250;7;29;3;Y;N;
179;Platboom;09/09/2017;After;300;8;27;3;Y;N;
180;Platboom;09/09/2017;After;440;6;35;2,5;Y;N;
181;Platboom;09/09/2017;After;250;28;20;17;N;N;
182;Platboom;09/09/2017;After;625;18;15;3;N;N;
183;Platboom;09/09/2017;After;475;8;16;4;Y;N;
184;Platboom;09/09/2017;After;1125;26;20;14;Y;Y;
185;Platboom;09/09/2017;After;1100;34;20;18;N;N;
186;Platboom;09/09/2017;After;875;27;28;24;N;N;
187;Platboom;09/09/2017;After;250;34;19;12;Y;N;
188;Platboom;09/09/2017;After;550;8;14;4;Y;N;
189;Platboom;09/09/2017;After;370;24;19;13;Y;N;
